URL:     rows=load('/tmp/a.csv', ticker)
STATUS: 000 0 bytes 000 0 -
STDERR:
curl: (3) URL rejected: Malformed input to a URL function
PORTFOLIO HOLDINGS INFORMATION,,,,
AS OF 9/23/2026,,,,
,,,,
Fund Ticker, Fund Name, Security Ticker, Security Sedol, Security Description, Coupon, Maturity Date, Shares/Contracts, Exposure Value (Notional + G/L), Market Value
"ACQQ","ProShares Nasdaq-100 Autocallable Income ETF","","","NDX100 35% VOLATILITY AUTOCALLABLE SWAP Bank of America NA",,,21613,24268589.31,,
"ACQQ","ProShares Nasdaq-100 Autocallable Income ETF","IQMM",,"PROSHARES GENIUS MNY MKT ETF",,,170000,,17008500,
"ACQQ","ProShares Nasdaq-100 Autocallable Income ETF","","","Net Other Assets (Liabilities)",,,7246127.04,,7246127.04,
"ACRT","ProShares Russell 2000 Autocallable Income ETF","","","RU2K LADDERED AUTOCALL SWAP Bank of America NA",,,2278,1513298.18,,
"ACRT","ProShares Russell 2000 Autocallable Income ETF","IQMM",,"PROSHARES GENIUS MNY MKT ETF",,,13500,,1350675,
"ACRT","ProShares Russell 2000 Autocallable Income ETF","","","Net Other Assets (Liabilities)",,,162734.68,,162734.68,
"ACSP","ProShares S&P 500 Autocallable Income ETF","","","S&P500 Futures 35% Autocall SWAP Bank of America NA",,,2692,27024988,,
"ACSP","ProShares S&P 500 Autocallable Income ETF","IQMM",,"PROSHARES GENIUS MNY MKT ETF",,,190000,,19009500,
"ACSP","ProShares S&P 500 Autocallable Income ETF","","","Net Other Assets (Liabilities)",,,8046059.36,,8046059.36,
"AGQ","ProShares Ultra Silver","","","SILVER FUTURE DEC26",,,3145,1021558900,,
"AGQ","ProShares Ultra Silver","","","BLOOMBERG SILVER SUBINDEX SWAP - CITIBANK NA",,,1769495.8585,832218498.24,,
"AGQ","ProShares Ultra Silver","","","BLOOMBERG SILVER SUBINDEX SWAP - UBS AG",,,1595343.196,750312080.35,,
"AGQ","ProShares Ultra Silver","","","PROSHARES GENIUS MNY MKT ETF",,,5000000,500250000,,
"AGQ","ProShares Ultra Silver","","","BLOOMBERG SILVER SUBINDEX SWAP - GOLDMAN SACHS",,,394081,185341772.03,,
"AGQ","ProShares Ultra Silver","","","Net Other Assets (Liabilities)",,,1394523555.03,,1394523555.03,
"ANEW","ProShares MSCI Transformational Changes ETF","DHR",,"DANAHER CORP",,,907,,200954.92,
"ANEW","ProShares MSCI Transformational Changes ETF","DE",,"DEERE & CO",,,271,,192269.08,
"ANEW","ProShares MSCI Transformational Changes ETF","ABBV",,"ABBVIE INC",,,709,,187941.72,
"ANEW","ProShares MSCI Transformational Changes ETF","META",,"META PLATFORMS INC-CLASS A",,,251,,186769.1,
"ANEW","ProShares MSCI Transformational Changes ETF","DASH",,"DOORDASH INC - A",,,980,,185484.6,
"ANEW","ProShares MSCI Transformational Changes ETF","MSFT",,"MICROSOFT CORP",,,363,,181714.17,
"ANEW","ProShares MSCI Transformational Changes ETF","SY1",,"SYMRISE AG",,,1714,,180347.37,
"ANEW","ProShares MSCI Transformational Changes ETF","IFF",,"INTL FLAVORS & FRAGRANCES",,,2104,,180333.84,
"ANEW","ProShares MSCI Transformational Changes ETF","GIVN",,"GIVAUDAN-REG",,,43,,178278.06,
"ANEW","ProShares MSCI Transformational Changes ETF","MRNA",,"MODERNA INC",,,974,,177375.14,
"ANEW","ProShares MSCI Transformational Changes ETF","ABT",,"ABBOTT LABORATORIES",,,1706,,176553.94,
"ANEW","ProShares MSCI Transformational Changes ETF","AAPL",,"APPLE INC",,,507,,170869.14,
"ANEW","ProShares MSCI Transformational Changes ETF","LLY",,"ELI LILLY & CO",,,148,,170346.52,
"ANEW","ProShares MSCI Transformational Changes ETF","KYGA",,"KERRY GROUP PLC-A",,,1728,,167124.51,
"ANEW","ProShares MSCI Transformational Changes ETF","ROP",,"ROCHE HOLDING AG",,,363,,159875.83,
