URL: https://accounts.profunds.com/etfdata/historical_nav.csv
STATUS: 200 52674493 bytes text/csv
Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
09/18/2026,ProShares Big Data Refiners ETF,DAT,49.3719,49.9604,-1.17793,-0.5885,100,4937239.3719
09/17/2026,ProShares Big Data Refiners ETF,DAT,49.9604,49.1364,1.67696,0.824,100,4996089.9604
09/16/2026,ProShares Big Data Refiners ETF,DAT,49.1364,49.0602,0.15532,0.0762,100,4913689.1364
09/15/2026,ProShares Big Data Refiners ETF,DAT,49.0602,49.4675,-0.82337,-0.4073,100,4906069.0602
09/14/2026,ProShares Big Data Refiners ETF,DAT,49.4675,47.8488,3.38295,1.6187,100,4946799.4675
09/11/2026,ProShares Big Data Refiners ETF,DAT,47.8488,47.6411,0.43597,0.2077,100,4784927.8488
09/10/2026,ProShares Big Data Refiners ETF,DAT,47.6411,48.0482,-0.84727,-0.4071,100,4764157.6411
09/09/2026,ProShares Big Data Refiners ETF,DAT,48.0482,49.0259,-1.99425,-0.9777,100,4804868.0482
09/08/2026,ProShares Big Data Refiners ETF,DAT,49.0259,50.3753,-2.67869,-1.3494,100,4902639.0259
09/04/2026,ProShares Big Data Refiners ETF,DAT,50.3753,51.4306,-2.05189,-1.0553,100,5037580.3753
09/03/2026,ProShares Big Data Refiners ETF,DAT,51.4306,49.4174,4.07387,2.0132,100,5143111.4306
09/02/2026,ProShares Big Data Refiners ETF,DAT,49.4174,50.3942,-1.93832,-0.9768,100,4941789.4174
09/01/2026,ProShares Big Data Refiners ETF,DAT,50.3942,51.9545,-3.00320,-1.5603,100,5039470.3942
08/31/2026,ProShares Big Data Refiners ETF,DAT,51.9545,51.9265,0.05392,0.028,100,5195501.9545
08/28/2026,ProShares Big Data Refiners ETF,DAT,51.9265,51.7148,0.40936,0.2117,125,6490864.4265
08/27/2026,ProShares Big Data Refiners ETF,DAT,51.7148,49.1823,5.14921,2.5325,125,6464401.7148
08/26/2026,ProShares Big Data Refiners ETF,DAT,49.1823,49.1782,0.00834,0.0041,125,6147836.6823
08/25/2026,ProShares Big Data Refiners ETF,DAT,49.1782,49.5466,-0.74354,-0.3684,125,6147324.1782
08/24/2026,ProShares Big Data Refiners ETF,DAT,49.5466,50.1559,-1.21481,-0.6093,125,6193374.5466
08/21/2026,ProShares Big Data Refiners ETF,DAT,50.1559,49.3508,1.63138,0.8051,125,6269537.6559
08/20/2026,ProShares Big Data Refiners ETF,DAT,49.3508,49.5882,-0.47874,-0.2374,125,6168899.3508
08/19/2026,ProShares Big Data Refiners ETF,DAT,49.5882,49.0438,1.11003,0.5444,125,6198574.5882
08/18/2026,ProShares Big Data Refiners ETF,DAT,49.0438,49.0032,0.08285,0.0406,125,6130524.0438
08/17/2026,ProShares Big Data Refiners ETF,DAT,49.0032,50.1093,-2.20737,-1.1061,125,6125449.0032
08/14/2026,ProShares Big Data Refiners ETF,DAT,50.1093,50.5132,-0.79959,-0.4039,125,6263712.6093
08/13/2026,ProShares Big Data Refiners ETF,DAT,50.5132,49.1545,2.76414,1.3587,125,6314200.5132
08/12/2026,ProShares Big Data Refiners ETF,DAT,49.1545,49.7132,-1.12385,-0.5587,125,6144361.6545
08/11/2026,ProShares Big Data Refiners ETF,DAT,49.7132,49.8381,-0.25061,-0.1249,125,6214199.7132
08/10/2026,ProShares Big Data Refiners ETF,DAT,49.8381,48.815,2.09587,1.0231,125,6229812.3381
08/07/2026,ProShares Big Data Refiners ETF,DAT,48.815,47.0864,3.67112,1.7286,125,6101923.815
08/06/2026,ProShares Big Data Refiners ETF,DAT,47.0864,48.3135,-2.53987,-1.2271,125,5885847.0864
08/05/2026,ProShares Big Data Refiners ETF,DAT,48.3135,48.7879,-0.97237,-0.4744,125,6039235.8135
08/04/2026,ProShares Big Data Refiners ETF,DAT,48.7879,45.9857,6.09363,2.8022,125,6098536.2879
08/03/2026,ProShares Big Data Refiners ETF,DAT,45.9857,44.8774,2.46962,1.1083,125,5748258.4857
07/31/2026,ProShares Big Data Refiners ETF,DAT,44.8774,44.7778,0.22243,0.0996,125,5609719.8774
07/30/2026,ProShares Big Data Refiners ETF,DAT,44.7778,44.7471,0.06861,0.0307,125,5597269.7778
07/29/2026,ProShares Big Data Refiners ETF,DAT,44.7471,43.9479,1.81852,0.7992,125,5593432.2471
07/28/2026,ProShares Big Data Refiners ETF,DAT,43.9479,43.7028,0.56083,0.2451,125,5493531.4479
07/27/2026,ProShares Big Data Refiners ETF,DAT,43.7028,41.6666,4.88689,2.0362,125,5462893.7028
07/24/2026,ProShares Big Data Refiners ETF,DAT,41.6666,41.0479,1.50726,0.6187,125,5208366.6666
07/23/2026,ProShares Big Data Refiners ETF,DAT,41.0479,41.7506,-1.68309,-0.7027,125,5131028.5479
07/22/2026,ProShares Big Data Refiners ETF,DAT,41.7506,43.4146,-3.83281,-1.664,125,5218866.7506
07/21/2026,ProShares Big Data Refiners ETF,DAT,43.4146,44.3168,-2.03580,-0.9022,125,5426868.4146
07/20/2026,ProShares Big Data Refiners ETF,DAT,44.3168,43.9318,0.87636,0.385,125,5539644.3168
07/17/2026,ProShares Big Data Refiners ETF,DAT,43.9318,44.2488,-0.71640,-0.317,125,5491518.9318
07/16/2026,ProShares Big Data Refiners ETF,DAT,44.2488,44.4268,-0.40066,-0.178,125,5531144.2488
07/15/2026,ProShares Big Data Refiners ETF,DAT,44.4268,44.9051,-1.06514,-0.4783,125,5553394.4268
07/14/2026,ProShares Big Data Refiners ETF,DAT,44.9051,44.8941,0.02450,0.011,125,5613182.4051
07/13/2026,ProShares Big Data Refiners ETF,DAT,44.8941,44.3233,1.28781,0.5708,125,5611807.3941
07/10/2026,ProShares Big Data Refiners ETF,DAT,44.3233,44.8094,-1.08482,-0.4861,125,5540456.8233
07/09/2026,ProShares Big Data Refiners ETF,DAT,44.8094,44.3279,1.08622,0.4815,125,5601219.8094
