URL: https://accounts.profunds.com/etfdata/ByFund/NOBL-historical_nav.csv
STATUS: 200 364972 bytes text/csv
Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
09/18/2026,ProShares S&P 500 Dividend Aristocrats ETF,NOBL,55.6579,56.0278,-0.66021,-0.3699,202400,11265159071.3158
09/17/2026,ProShares S&P 500 Dividend Aristocrats ETF,NOBL,56.0278,55.8546,0.31009,0.1732,202500,11345629612.0556
09/16/2026,ProShares S&P 500 Dividend Aristocrats ETF,NOBL,55.8546,56.3401,-0.86173,-0.4855,202850,11330105721.7092
09/15/2026,ProShares S&P 500 Dividend Aristocrats ETF,NOBL,56.3401,56.5424,-0.35778,-0.2023,202850,11428589397.6802
09/14/2026,ProShares S&P 500 Dividend Aristocrats ETF,NOBL,56.5424,56.2378,0.54163,0.3046,202900,11472453073.0848
09/11/2026,ProShares S&P 500 Dividend Aristocrats ETF,NOBL,56.2378,56.0816,0.27852,0.1562,203000,11416273512.4756
09/10/2026,ProShares S&P 500 Dividend Aristocrats ETF,NOBL,56.0816,56.4754,-0.69729,-0.3938,203000,11384564912.1632
09/09/2026,ProShares S&P 500 Dividend Aristocrats ETF,NOBL,56.4754,56.9753,-0.87740,-0.4999,203150,11472977622.9508
09/08/2026,ProShares S&P 500 Dividend Aristocrats ETF,NOBL,56.9753,57.6885,-1.23629,-0.7132,203250,11580229838.9506
09/04/2026,ProShares S&P 500 Dividend Aristocrats ETF,NOBL,57.6885,58.064,-0.64670,-0.3755,203200,11722303315.377
09/03/2026,ProShares S&P 500 Dividend Aristocrats ETF,NOBL,58.064,57.8807,0.31669,0.1833,203350,11807314516.128
09/02/2026,ProShares S&P 500 Dividend Aristocrats ETF,NOBL,57.8807,57.649,0.40192,0.2317,203700,11790298
