URL:                     started=True
STATUS: 000 0 bytes 000 0 -
STDERR:
curl: (3) URL rejected: Malformed input to a URL function
PORTFOLIO HOLDINGS INFORMATION,,,,
AS OF 9/18/2026,,,,
,,,,
Fund Ticker, Fund Name, Security Ticker, Security Sedol, Security Description, Coupon, Maturity Date, Shares/Contracts, Exposure Value (Notional + G/L), Market Value
"ACQQ","ProShares Nasdaq-100 Autocallable Income ETF","","","NDX100 35% VOLATILITY AUTOCALLABLE SWAP Bank of America NA",,,21613,23390669.25,,
"ACQQ","ProShares Nasdaq-100 Autocallable Income ETF","IQMM",,"PROSHARES GENIUS MNY MKT ETF",,,90000,,9009000,
"ACQQ","ProShares Nasdaq-100 Autocallable Income ETF","","","Net Other Assets (Liabilities)",,,14373441.9,,14373441.9,
"ACRT","ProShares Russell 2000 Autocallable Income ETF","","","RU2K LADDERED AUTOCALL SWAP Bank of America NA",,,2278,1525462.7,,
"ACRT","ProShares Russell 2000 Autocallable Income ETF","IQMM",,"PROSHARES GENIUS MNY MKT ETF",,,13500,,1351350,
"ACRT","ProShares Russell 2000 Autocallable Income ETF","","","Net Other Assets (Liabilities)",,,174546.46,,174546.46,
"ACSP","ProShares S&P 500 Autocallable Income ETF","","","S&P500 Futures 35% Autocall SWAP Bank of America NA",,,2692,26692122.2,,
"ACSP","ProShares S&P 500 Autocallable Income ETF","IQMM",,"PROSHARES GENIUS MNY MKT ETF",,,50000,,5005000,
"ACSP","ProShares S&P 500 Autocallable Income ETF","","","Net Other Assets (Liabilities)",,,21725430.38,,21725430.38,
"AGQ","ProShares Ultra Silver","","","SILVER FUTURE DEC26",,,3411,1145226195,,
"AGQ","ProShares Ultra Silver","","","BLOOMBERG SILVER SUBINDEX SWAP - CITIBANK NA",,,1769495.8585,860209445.43,,
"AGQ","ProShares Ultra Silver","","","BLOOMBERG SILVER SUBINDEX SWAP - UBS AG",,,1595343.196,775548176.23,,
"AGQ","ProShares Ultra Silver","","","PROSHARES GENIUS MNY MKT ETF",,,5000000,500550000,,
"AGQ","ProShares Ultra Silver","","","BLOOMBERG SILVER SUBINDEX SWAP - GOLDMAN SACHS",,,394081,191575581.73,,
